edist	mapq	min_size	count
100	0	0	289626
10	0	0	283823
5	0	0	265211
3	0	0	243339
1	0	0	198667
0	0	0	150786
100	1	0	211926
10	1	0	207979
5	1	0	195765
3	1	0	181387
1	1	0	151116
0	1	0	116661
100	10	0	167382
10	10	0	164326
5	10	0	155301
3	10	0	144646
1	10	0	121559
0	10	0	94165
100	20	0	151398
10	20	0	148939
5	20	0	141496
3	20	0	132473
1	20	0	111409
0	20	0	86320
100	30	0	115943
10	30	0	114104
5	30	0	108491
3	30	0	101728
1	30	0	85895
0	30	0	66659
100	40	0	90635
10	40	0	89230
5	40	0	84834
3	40	0	79580
1	40	0	67393
0	40	0	52280
100	0	1000	202518
10	0	1000	198492
5	0	1000	184785
3	0	1000	168938
1	0	1000	137038
0	0	1000	103099
100	1	1000	135380
10	1	1000	132977
5	1	1000	124969
3	1	1000	115745
1	1	1000	96461
0	1	1000	74239
100	10	1000	103775
10	10	1000	102026
5	10	1000	96430
3	10	1000	89911
1	10	1000	75720
0	10	1000	58477
100	20	1000	92480
10	20	1000	91089
5	20	1000	86584
3	20	1000	81190
1	20	1000	68427
0	20	1000	52789
100	30	1000	68518
10	30	1000	67521
5	30	1000	64267
3	30	1000	60357
1	30	1000	51071
0	30	1000	39472
100	40	1000	51928
10	40	1000	51185
5	40	1000	48718
3	40	1000	45754
1	40	1000	38837
0	40	1000	29980
100	0	2000	193213
10	0	2000	189363
5	0	2000	176102
3	0	2000	160837
1	0	2000	130187
0	0	2000	97750
100	1	2000	127407
10	1	2000	125155
5	1	2000	117539
3	1	2000	108815
1	1	2000	90608
0	1	2000	69672
100	10	2000	97275
10	10	2000	95640
5	10	2000	90356
3	10	2000	84257
1	10	2000	70913
0	10	2000	54721
100	20	2000	86629
10	20	2000	85326
5	20	2000	81069
3	20	2000	76029
1	20	2000	64030
0	20	2000	49354
100	30	2000	63970
10	30	2000	63036
5	30	2000	59964
3	30	2000	56325
1	30	2000	47628
0	30	2000	36777
100	40	2000	48381
10	40	2000	47684
5	40	2000	45355
3	40	2000	42602
1	40	2000	36140
0	40	2000	27867
100	0	5000	180584
10	0	5000	176864
5	0	5000	164154
3	0	5000	149600
1	0	5000	120594
0	0	5000	90186
100	1	5000	116952
10	1	5000	114806
5	1	5000	107641
3	1	5000	99492
1	1	5000	82643
0	1	5000	63363
100	10	5000	88930
10	10	5000	87387
5	10	5000	82467
3	10	5000	76813
1	10	5000	64543
0	10	5000	49691
100	20	5000	79131
10	20	5000	77908
5	20	5000	73952
3	20	5000	69307
1	20	5000	58295
0	20	5000	44838
100	30	5000	58406
10	30	5000	57533
5	30	5000	54685
3	30	5000	51326
1	30	5000	43351
0	30	5000	33406
100	40	5000	44161
10	40	5000	43510
5	40	5000	41348
3	40	5000	38810
1	40	5000	32890
0	40	5000	25319
100	0	10000	173369
10	0	10000	169758
5	0	10000	157381
3	0	10000	143306
1	0	10000	115352
0	0	10000	86083
100	1	10000	112070
10	1	10000	109996
5	1	10000	103061
3	1	10000	95238
1	1	10000	79085
0	1	10000	60576
100	10	10000	85115
10	10	10000	83629
5	10	10000	78876
3	10	10000	73441
1	10	10000	61678
0	10	10000	47465
100	20	10000	75723
10	20	10000	74542
5	20	10000	70732
3	20	10000	66259
1	20	10000	55702
0	20	10000	42827
100	30	10000	55864
10	30	10000	55017
5	30	10000	52278
3	30	10000	49044
1	30	10000	41398
0	30	10000	31895
100	40	10000	42215
10	40	10000	41583
5	40	10000	39499
3	40	10000	37061
1	40	10000	31393
0	40	10000	24160
100	0	20000	169711
10	0	20000	166185
5	0	20000	154040
3	0	20000	140239
1	0	20000	112860
0	0	20000	84185
100	1	20000	109509
10	1	20000	107499
5	1	20000	100728
3	1	20000	93101
1	1	20000	77352
0	1	20000	59262
100	10	20000	83134
10	10	20000	81692
5	10	20000	77054
3	10	20000	71755
1	10	20000	60296
0	10	20000	46402
100	20	20000	73953
10	20	20000	72808
5	20	20000	69094
3	20	20000	64732
1	20	20000	54441
0	20	20000	41851
100	30	20000	54526
10	30	20000	53706
5	30	20000	51035
3	30	20000	47880
1	30	20000	40432
0	30	20000	31149
100	40	20000	41192
10	40	20000	40581
5	40	20000	38552
3	40	20000	36175
1	40	20000	30656
0	40	20000	23584
100	0	50000	166126
10	0	50000	162683
5	0	50000	150845
3	0	50000	137324
1	0	50000	110496
0	0	50000	82410
100	1	50000	106970
10	1	50000	105019
5	1	50000	98475
3	1	50000	91041
1	1	50000	75683
0	1	50000	58015
100	10	50000	81114
10	10	50000	79721
5	10	50000	75256
3	10	50000	70110
1	10	50000	58949
0	10	50000	45386
100	20	50000	72143
10	20	50000	71040
5	20	50000	67471
3	20	50000	63234
1	20	50000	53207
0	20	50000	40915
100	30	50000	53132
10	30	50000	52341
5	30	50000	49788
3	30	50000	46723
1	30	50000	39477
0	30	50000	30417
100	40	50000	40097
10	40	50000	39503
5	40	50000	37574
3	40	50000	35268
1	40	50000	29908
0	40	50000	23011
